,2015,,,,,,,,,,,2016,,,,,,,,,,,2017,,,,,,,,,,,2018,,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player,SUM of Mat.s,SUM of NO.s,SUM of Runs.s,SUM of HS.s,SUM of Ave.s,SUM of BF.s,SUM of hundreds.s,SUM of fifties.s,SUM of ducks.s,SUM of boundaries.s,SUM of NO_HS.s,SUM of Mat.s,SUM of NO.s,SUM of Runs.s,SUM of HS.s,SUM of Ave.s,SUM of BF.s,SUM of hundreds.s,SUM of fifties.s,SUM of ducks.s,SUM of boundaries.s,SUM of NO_HS.s,SUM of Mat.s,SUM of NO.s,SUM of Runs.s,SUM of HS.s,SUM of Ave.s,SUM of BF.s,SUM of hundreds.s,SUM of fifties.s,SUM of ducks.s,SUM of boundaries.s,SUM of NO_HS.s,SUM of Mat.s,SUM of NO.s,SUM of Runs.s,SUM of HS.s,SUM of Ave.s,SUM of BF.s,SUM of hundreds.s,SUM of fifties.s,SUM of ducks.s,SUM of boundaries.s,SUM of NO_HS.s,SUM of Mat.s,SUM of NO.s,SUM of Runs.s,SUM of HS.s,SUM of Ave.s,SUM of BF.s,SUM of hundreds.s,SUM of fifties.s,SUM of ducks.s,SUM of boundaries.s,SUM of NO_HS.s,,,,,,,,,,,,,,,,,,,,,
A Ashish Reddy,6,2,73,22,24.33,46,0,0,0,8,1,4,1,47,32,23.5,29,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Choudhary,,,,,,,,,,,,,,,,,,,,,,,5,2,25,15,25,20,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Dananjaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,4,0,5,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Mishra,12,2,8,4,4,12,0,0,0,0,0,14,0,4,3,2,14,0,0,0,0,0,14,5,49,13,49,52,0,0,0,4,1,10,1,1,1,0,2,0,0,0,0,1,11,2,21,8,10.5,24,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,
A Nehra,16,3,1,1,1,7,0,0,1,0,1,8,2,1,1,0,1,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Zampa,,,,,,,,,,,,5,0,0,0,0,1,0,0,1,0,0,6,0,5,5,5,7,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers,16,3,513,133,46.63,293,1,2,1,82,1,16,3,687,129,52.84,407,1,6,1,94,1,9,1,216,89,27,163,0,1,0,28,1,12,2,480,90,53.33,275,0,6,0,69,1,13,3,442,82,44.2,287,0,5,0,57,1,,,,,,,,,,,,,,,,,,,,,
AB Dinda,,,,,,,,,,,,,,,,,,,,,,,3,0,7,7,7,7,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abhishek Sharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,63,46,63,33,0,0,0,8,1,3,1,9,5,4.5,9,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
AD Hales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,148,45,24.66,118,0,0,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD Mathews,11,3,144,28,20.57,104,0,0,1,18,0,,,,,,,,,,,,3,0,32,31,16,27,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD Nath,,,,,,,,,,,,4,0,20,12,6.66,27,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,9,9,9,13,0,0,0,1,0,8,0,61,24,12.2,57,0,0,0,7,0,,,,,,,,,,,,,,,,,,,,,
AD Russell,13,2,326,66,36.22,169,0,3,0,54,0,12,1,188,39,26.85,114,0,0,0,25,1,,,,,,,,,,,,16,3,316,88,28.72,171,0,1,1,48,1,14,4,510,80,56.66,249,0,4,1,83,1,,,,,,,,,,,,,,,,,,,,,
AF Milne,,,,,,,,,,,,,,,,,,,,,,,4,1,7,5,3.5,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Finch,3,1,23,10,11.5,33,0,0,0,4,1,13,2,393,74,39.3,299,0,5,2,56,0,13,1,299,72,24.91,180,0,2,1,44,0,10,1,134,46,16.75,100,0,0,2,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,3,1,10,0,0,3,0,1,,,,,,,,,,,,,,,,,,,,,
AJ Tye,,,,,,,,,,,,,,,,,,,,,,,6,1,53,25,26.5,30,0,0,0,7,0,14,2,32,14,5.33,38,0,0,2,3,0,6,1,0,0,0,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
AM Rahane,14,2,540,91,49.09,413,0,4,1,66,1,14,3,480,74,43.63,379,0,6,2,63,0,16,1,382,60,25.46,323,0,2,2,44,0,15,1,370,65,28.46,313,0,1,0,44,1,14,1,393,105,32.75,285,1,1,1,54,1,,,,,,,,,,,,,,,,,,,,,
AN Ahmed,3,2,10,5,10,5,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
